epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
113,5702.24,0.7064,0.42532,1.14352,0.9596,0.98704,0.98558,0.79855,0.93026,0.35324,1.36206,0.0166944,0.0055648,0.0166944,0.0055648,0.0166944,0.0055648,0.0166944,0.0055648
114,5751.81,0.70752,0.4291,1.14335,0.96067,0.98424,0.98529,0.7986,0.92969,0.35458,1.36243,0.0165756,0.0055252,0.0165756,0.0055252,0.0165756,0.0055252,0.0165756,0.0055252
115,5802.87,0.70991,0.43122,1.14355,0.9596,0.9796,0.98549,0.7982,0.9299,0.35449,1.36214,0.0164568,0.0054856,0.0164568,0.0054856,0.0164568,0.0054856,0.0164568,0.0054856
116,5852.5,0.70492,0.42182,1.13983,0.96978,0.96925,0.98421,0.79623,0.92972,0.35541,1.36173,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
117,5902.44,0.70953,0.4282,1.14159,0.97311,0.96715,0.98386,0.79702,0.93006,0.35569,1.36321,0.0162192,0.0054064,0.0162192,0.0054064,0.0162192,0.0054064,0.0162192,0.0054064
118,5952.56,0.70091,0.4211,1.13885,0.9722,0.96757,0.98387,0.79747,0.93106,0.3562,1.36578,0.0161004,0.0053668,0.0161004,0.0053668,0.0161004,0.0053668,0.0161004,0.0053668
119,6002.05,0.70409,0.42765,1.14241,0.96617,0.97337,0.98351,0.79747,0.93042,0.35659,1.36584,0.0159816,0.0053272,0.0159816,0.0053272,0.0159816,0.0053272,0.0159816,0.0053272
120,6052.99,0.70088,0.42546,1.1365,0.97305,0.96729,0.9828,0.79774,0.9294,0.35527,1.36551,0.0158628,0.0052876,0.0158628,0.0052876,0.0158628,0.0052876,0.0158628,0.0052876
121,6102.74,0.69681,0.42124,1.1371,0.96827,0.97183,0.98316,0.79971,0.92973,0.35482,1.36669,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
122,6153.34,0.69715,0.42313,1.1359,0.96935,0.97175,0.98335,0.79999,0.93035,0.35564,1.36756,0.0156252,0.0052084,0.0156252,0.0052084,0.0156252,0.0052084,0.0156252,0.0052084
123,6203.23,0.69323,0.41522,1.13197,0.97093,0.96993,0.98311,0.79945,0.93047,0.35612,1.36921,0.0155064,0.0051688,0.0155064,0.0051688,0.0155064,0.0051688,0.0155064,0.0051688
124,6252.72,0.69487,0.4202,1.13448,0.97045,0.97177,0.98321,0.80039,0.93015,0.35683,1.36933,0.0153876,0.0051292,0.0153876,0.0051292,0.0153876,0.0051292,0.0153876,0.0051292
125,6303.32,0.69708,0.41636,1.135,0.96845,0.97212,0.98329,0.8005,0.92891,0.3565,1.369,0.0152688,0.0050896,0.0152688,0.0050896,0.0152688,0.0050896,0.0152688,0.0050896
126,6352.84,0.6935,0.41634,1.1353,0.9688,0.97275,0.98335,0.79981,0.9291,0.35673,1.369,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
127,6403.58,0.68817,0.41534,1.13397,0.96874,0.9714,0.98349,0.80041,0.92954,0.35756,1.36998,0.0150312,0.0050104,0.0150312,0.0050104,0.0150312,0.0050104,0.0150312,0.0050104
128,6453.36,0.69123,0.41493,1.13378,0.96877,0.97196,0.98335,0.79928,0.93028,0.3566,1.37167,0.0149124,0.0049708,0.0149124,0.0049708,0.0149124,0.0049708,0.0149124,0.0049708
